nombre,numero de opiniones,puntuacion sobre 5,ranking,precio,tipos de cocina,dietas especiales,ubicaciones,puntuaciones desglosadas,Unnamed: 9
Alduccio,215,"4,0",1298,,"['Italiana', ' Pizza', ' Mediterránea', ' Europea']",,"Avenida Concha Espina 8, 28036 Madrid España","['10', '22', '23', '49', '86']",
Viva Chapata,184,"4,0",1299,,"['Bar', ' Mediterránea', ' Europea', ' Española', ' Saludable', ' Restaurantes de cerveza']",,"Calle del Ave María 43, 28012 Madrid España","['11', '2', '16', '67', '70']",
Vinateros 28,184,"4,0",1300,,"['Mediterránea', ' Española', ' Contemporánea']",,"Camino Vinateros 28, 28030 Madrid España","['8', '9', '24', '56', '87']",
Thai Arturo Soria,994,"3,5",1159,"['30', '40']","['Asiática', ' Tailandesa', ' Internacional', ' Saludable', ' Street food / Comida en la calle']","['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten']","calle arturo soria 205, 28033 Madrid España","['63', '78', '199', '316', '269']",
EsToque,226,"4,0",20,,"['Mediterránea', ' Española']",,"Avenida Espana 70, 28220 Majadahonda España","['14', '11', '23', '87', '87']",
Sagardi Castellana,313,"4,0",1301,"['30', '60']","['Restaurante de carne', ' Española', ' Asador', ' Contemporánea']","['Comidas', ' Cenas', ' Abierto hasta tarde', ' Bebidas']","Paseo de la Castellana, 13, 28046 Madrid España","['19', '27', '31', '65', '76']",
Restaurante El Acebo,228,"4,0",18,,"['Mediterránea', ' Europea', ' Española']",,"Plaza Sol 7 Frente Al Polideportivo Los Cantos, 28922 Alcorcón España","['11', '11', '19', '79', '108']",
Clarita,672,"3,5",1302,"['15', '25']","['Mediterránea', ' Europea', ' Española', ' Internacional']","['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten']","Corredera Baja de San Pablo, 19, 28004 Madrid España","['50', '50', '129', '273', '135']",
El Telegrafo,468,"4,0",1324,"['35', '279']","['Marisco', ' Mediterránea', ' Española']",['Opciones vegetarianas'],"Calle Padre Damian 44 Calle Padre Damian, 44, 28036 Madrid España","['24', '34', '62', '165', '114']",
Mesa 3,117,"4,5",1325,,"['Mediterránea', ' Española', ' Europea']",,"Calle Santa Teresa 8, 28004 Madrid España","['3', '2', '8', '30', '61']",
