nombre,numero de opiniones,puntuacion sobre 5,ranking,precio,tipos de cocina,dietas especiales,ubicaciones,puntuaciones desglosadas,precio promedio,categoria precio,tipos cocina española,tipos cocina italiana,tipos cocina francesa,tipos cocina europea,tipos cocina asiatica,tipos cocina americana,tipos cocina latinoamerica,tipos cocina africana,tipos cocina arabe,Halal,Kosher,Opciones sin gluten,Opciones veganas,Opciones vegetarianas,Pésimo,Malo,Normal,Muy bueno,Excelente,lat,long,municipio,provincia,codigo postal,direccion completa corregida,datos completos
A Pulpeira De Melide,1650.0,4.0,,,"['Española', 'Saludable']",,"Praza de España, 16, 15001 A Coruña España","['113', '110', '252', '535', '640']",,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,113.0,110.0,252.0,535.0,640.0,43.3728784,-8.3971602,A Coruña,A Coruña,15001,"Praza de España, 16, 15001 A Coruña, Spain","{'results': [{'address_components': [{'long_name': '16', 'short_name': '16', 'types': ['street_number']}, {'long_name': 'Praza de España', 'short_name': 'Praza de España', 'types': ['route']}, {'long_name': 'A Coruña', 'short_name': 'A Coruña', 'types': ['locality', 'political']}, {'long_name': 'A Coruña', 'short_name': 'C', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Galicia', 'short_name': 'GA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Spain', 'short_name': 'ES', 'types': ['country', 'political']}, {'long_name': '15001', 'short_name': '15001', 'types': ['postal_code']}], 'formatted_address': 'Praza de España, 16, 15001 A Coruña, Spain', 'geometry': {'location': {'lat': 43.3728784, 'lng': -8.3971602}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 43.3743160302915, 'lng': -8.395945869708498}, 'southwest': {'lat': 43.3716180697085, 'lng': -8.398643830291501}}}, 'place_id': 'ChIJua7pr3h8Lg0RuOSBooIBrZA', 'plus_code': {'compound_code': '9JF3+54 A Coruña, Spain', 'global_code': '8CMH9JF3+54'}, 'types': ['street_address']}], 'status': 'OK'}"
Asador El Atlantico,173.0,4.5,,"[20, 30]","['Restaurante de carne', 'Barbacoa', 'Española', 'Argentina', 'Sudamericana']",['Opciones sin gluten'],"Rua Angel Rebollo 90 Bajo Angel Rebollo 90 bajo, 15002 A Coruña España","['8', '5', '19', '42', '99']",25.0,medio,True,False,False,False,False,False,True,False,False,False,False,True,False,False,8.0,5.0,19.0,42.0,99.0,43.3779299,-8.4060439,A Coruña,A Coruña,15002,"R. Ángel Rebollo, 90, 15002 A Coruña, Spain","{'results': [{'address_components': [{'long_name': '90', 'short_name': '90', 'types': ['street_number']}, {'long_name': 'Rúa Ángel Rebollo', 'short_name': 'R. Ángel Rebollo', 'types': ['route']}, {'long_name': 'A Coruña', 'short_name': 'A Coruña', 'types': ['locality', 'political']}, {'long_name': 'A Coruña', 'short_name': 'C', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Galicia', 'short_name': 'GA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Spain', 'short_name': 'ES', 'types': ['country', 'political']}, {'long_name': '15002', 'short_name': '15002', 'types': ['postal_code']}], 'formatted_address': 'R. Ángel Rebollo, 90, 15002 A Coruña, Spain', 'geometry': {'bounds': {'northeast': {'lat': 43.3780861, 'lng': -8.405910400000002}, 'southwest': {'lat': 43.3778389, 'lng': -8.4062048}}, 'location': {'lat': 43.3779299, 'lng': -8.4060439}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 43.37931148029149, 'lng': -8.404722219708498}, 'southwest': {'lat': 43.3766135197085, 'lng': -8.407420180291503}}}, 'place_id': 'ChIJ0-msQHB8Lg0RXz0FCh6ngok', 'types': ['premise']}], 'status': 'OK'}"
La Quadriglia,148.0,4.5,,,"['Italiana', 'Pizza']",,"Plaza As Atochas, 8, 15001 A Coruña España","['5', '2', '15', '55', '71']",,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,5.0,2.0,15.0,55.0,71.0,43.3732996,-8.3949939,A Coruña,A Coruña,15001,"Pr. das Atochas, 8, 15001 A Coruña, Spain","{'results': [{'address_components': [{'long_name': '8', 'short_name': '8', 'types': ['street_number']}, {'long_name': 'Praza das Atochas', 'short_name': 'Pr. das Atochas', 'types': ['route']}, {'long_name': 'A Coruña', 'short_name': 'A Coruña', 'types': ['locality', 'political']}, {'long_name': 'A Coruña', 'short_name': 'C', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Galicia', 'short_name': 'GA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Spain', 'short_name': 'ES', 'types': ['country', 'political']}, {'long_name': '15001', 'short_name': '15001', 'types': ['postal_code']}], 'formatted_address': 'Pr. das Atochas, 8, 15001 A Coruña, Spain', 'geometry': {'location': {'lat': 43.3732996, 'lng': -8.3949939}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 43.3746006802915, 'lng': -8.393545969708496}, 'southwest': {'lat': 43.3719027197085, 'lng': -8.3962439302915}}}, 'partial_match': True, 'place_id': 'ChIJlwPmOId7Lg0RFw_a3414Z0I', 'plus_code': {'compound_code': '9JF4+82 A Coruña, Spain', 'global_code': '8CMH9JF4+82'}, 'types': ['street_address']}], 'status': 'OK'}"
Eclectic Restaurante,149.0,4.5,,"[70, 80]","['Mediterránea', 'Europea', 'Española', 'Fusión']",['Opciones sin gluten'],"Rúa San Andrés 8, 15001 A Coruña España","['5', '11', '15', '31', '87']",75.0,alto,True,False,False,True,False,False,False,False,False,False,False,True,False,False,5.0,11.0,15.0,31.0,87.0,43.3713399,-8.400616,A Coruña,A Coruña,15003,"R. San Andrés, 8, 15003 A Coruña, Spain","{'results': [{'address_components': [{'long_name': '8', 'short_name': '8', 'types': ['street_number']}, {'long_name': 'Rúa San Andrés', 'short_name': 'R. San Andrés', 'types': ['route']}, {'long_name': 'A Coruña', 'short_name': 'A Coruña', 'types': ['locality', 'political']}, {'long_name': 'A Coruña', 'short_name': 'C', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Galicia', 'short_name': 'GA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Spain', 'short_name': 'ES', 'types': ['country', 'political']}, {'long_name': '15003', 'short_name': '15003', 'types': ['postal_code']}], 'formatted_address': 'R. San Andrés, 8, 15003 A Coruña, Spain', 'geometry': {'location': {'lat': 43.3713399, 'lng': -8.400616}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 43.3726762802915, 'lng': -8.399251119708497}, 'southwest': {'lat': 43.3699783197085, 'lng': -8.401949080291502}}}, 'place_id': 'ChIJwRF_uH58Lg0RucYcZxtSh18', 'plus_code': {'compound_code': '9HCX+GQ A Coruña, Spain', 'global_code': '8CMH9HCX+GQ'}, 'types': ['street_address']}], 'status': 'OK'}"
Casa Manolo O Raxo,447.0,4.0,,,['Española'],,"Cuesta Lonxa 23 O Burgo, 15174 Culleredo España","['23', '25', '108', '160', '131']",,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,23.0,25.0,108.0,160.0,131.0,43.3148875,-8.365655499999999,Culleredo,A Coruña,15670,"Costa Lonxa, 23, 15670 Culleredo, A Coruña, Spain","{'results': [{'address_components': [{'long_name': '23', 'short_name': '23', 'types': ['street_number']}, {'long_name': 'Costa Lonxa', 'short_name': 'Costa Lonxa', 'types': ['route']}, {'long_name': 'Culleredo', 'short_name': 'Culleredo', 'types': ['locality', 'political']}, {'long_name': 'A Coruña', 'short_name': 'C', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Galicia', 'short_name': 'GA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Spain', 'short_name': 'ES', 'types': ['country', 'political']}, {'long_name': '15670', 'short_name': '15670', 'types': ['postal_code']}], 'formatted_address': 'Costa Lonxa, 23, 15670 Culleredo, A Coruña, Spain', 'geometry': {'location': {'lat': 43.3148875, 'lng': -8.365655499999999}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 43.3162106802915, 'lng': -8.364260469708496}, 'southwest': {'lat': 43.3135127197085, 'lng': -8.3669584302915}}}, 'place_id': 'ChIJM2vUHMNkLg0R2ch5TdC1TS4', 'plus_code': {'compound_code': '8J7M+XP Culleredo, Spain', 'global_code': '8CMH8J7M+XP'}, 'types': ['street_address']}], 'status': 'OK'}"
Paladar y Tomar,127.0,4.5,,,"['Contemporánea', 'Mediterránea', 'Europea', 'Española']",,"Riego de Agua 38, 15001 A Coruña España","['8', '4', '4', '24', '87']",,,True,False,False,True,False,False,False,False,False,False,False,False,False,False,8.0,4.0,4.0,24.0,87.0,43.3706359,-8.3980997,A Coruña,A Coruña,15001,"R. Riego de Agua, 38, 15001 A Coruña, Spain","{'results': [{'address_components': [{'long_name': '38', 'short_name': '38', 'types': ['street_number']}, {'long_name': 'Rúa Riego de Agua', 'short_name': 'R. Riego de Agua', 'types': ['route']}, {'long_name': 'A Coruña', 'short_name': 'A Coruña', 'types': ['locality', 'political']}, {'long_name': 'A Coruña', 'short_name': 'C', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Galicia', 'short_name': 'GA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Spain', 'short_name': 'ES', 'types': ['country', 'political']}, {'long_name': '15001', 'short_name': '15001', 'types': ['postal_code']}], 'formatted_address': 'R. Riego de Agua, 38, 15001 A Coruña, Spain', 'geometry': {'bounds': {'northeast': {'lat': 43.3707144, 'lng': -8.398015299999999}, 'southwest': {'lat': 43.37057739999999, 'lng': -8.398133200000002}}, 'location': {'lat': 43.3706359, 'lng': -8.3980997}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 43.3716999802915, 'lng': -8.396725269708499}, 'southwest': {'lat': 43.3690020197085, 'lng': -8.399423230291504}}}, 'place_id': 'ChIJx1uuE398Lg0Ro-acB2zQvkg', 'types': ['premise']}], 'status': 'OK'}"
Chirashi Group,165.0,4.5,,,"['Japonesa', 'Sushi', 'Asiática']",,"Rua Atocha Baja, 26, 15001 A Coruña España","['13', '3', '13', '25', '111']",,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,13.0,3.0,13.0,25.0,111.0,43.3740733,-8.3952254,A Coruña,A Coruña,15001,"Rúa Atocha Baixa, 26, 15001 A Coruña, Spain","{'results': [{'address_components': [{'long_name': '26', 'short_name': '26', 'types': ['street_number']}, {'long_name': 'Rúa Atocha Baixa', 'short_name': 'Rúa Atocha Baixa', 'types': ['route']}, {'long_name': 'A Coruña', 'short_name': 'A Coruña', 'types': ['locality', 'political']}, {'long_name': 'A Coruña', 'short_name': 'C', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Galicia', 'short_name': 'GA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Spain', 'short_name': 'ES', 'types': ['country', 'political']}, {'long_name': '15001', 'short_name': '15001', 'types': ['postal_code']}], 'formatted_address': 'Rúa Atocha Baixa, 26, 15001 A Coruña, Spain', 'geometry': {'location': {'lat': 43.3740733, 'lng': -8.3952254}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 43.3754208302915, 'lng': -8.393943519708497}, 'southwest': {'lat': 43.3727228697085, 'lng': -8.3966414802915}}}, 'partial_match': True, 'place_id': 'ChIJN5eUbId7Lg0RSeO9hCcD-xA', 'plus_code': {'compound_code': '9JF3+JW A Coruña, Spain', 'global_code': '8CMH9JF3+JW'}, 'types': ['street_address']}], 'status': 'OK'}"
Gazteka - Coruña,44.0,5.0,,,"['Mexicana', 'Americana', 'Mediterránea', 'Europea', 'Española', 'Centroamericana', 'Latina', 'Sudamericana']",,"Calle Huertas 1, Bajo Esquina Calle San Andrés, 15003 A Coruña España","['1', '0', '1', '3', '39']",,,True,False,False,True,False,True,True,False,False,False,False,False,False,False,1.0,0.0,1.0,3.0,39.0,43.3695056,-8.4036505,A Coruña,Galicia,15003,"R. San Andrés, 15003 A Coruña, Spain","{'results': [{'address_components': [{'long_name': 'Rúa San Andrés', 'short_name': 'R. San Andrés', 'types': ['route']}, {'long_name': 'A Coruña', 'short_name': 'A Coruña', 'types': ['locality', 'political']}, {'long_name': 'A Coruña', 'short_name': 'C', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Galicia', 'short_name': 'GA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Spain', 'short_name': 'ES', 'types': ['country', 'political']}, {'long_name': '15003', 'short_name': '15003', 'types': ['postal_code']}], 'formatted_address': 'R. San Andrés, 15003 A Coruña, Spain', 'geometry': {'bounds': {'northeast': {'lat': 43.371506, 'lng': -8.4002623}, 'southwest': {'lat': 43.367432, 'lng': -8.406772}}, 'location': {'lat': 43.3695056, 'lng': -8.4036505}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 43.371506, 'lng': -8.4002623}, 'southwest': {'lat': 43.367432, 'lng': -8.406772}}}, 'partial_match': True, 'place_id': 'ChIJcXNESnx8Lg0R8zrafynAsD0', 'types': ['route']}], 'status': 'OK'}"
Meson Suso,124.0,4.5,,,"['Marisco', 'Española']",,"Avenida Alcalde Manuel Platas Varela s/n Cruce Playa de Sabón, 15142 Arteixo España","['3', '1', '10', '50', '60']",,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,3.0,1.0,10.0,50.0,60.0,43.3218293,-8.5206559,Spain,15142,15142,"Playa De Sabón, Unnamed Road, 15142, 15142, La Coruña, Spain","{'results': [{'address_components': [{'long_name': 'La Coruña', 'short_name': 'C', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Galicia', 'short_name': 'GA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Spain', 'short_name': 'ES', 'types': ['country', 'political']}, {'long_name': '15142', 'short_name': '15142', 'types': ['postal_code']}], 'formatted_address': 'Playa De Sabón, Unnamed Road, 15142, 15142, La Coruña, Spain', 'geometry': {'location': {'lat': 43.3218293, 'lng': -8.5206559}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 43.32321298029149, 'lng': -8.519310769708497}, 'southwest': {'lat': 43.32051501970849, 'lng': -8.522008730291502}}}, 'partial_match': True, 'place_id': 'ChIJtYayWtaHLg0R06sHuccVILY', 'types': ['establishment', 'natural_feature']}, {'address_components': [{'long_name': 'Avenida Alcalde Manuel Platas Varela', 'short_name': 'Av. Alcalde Manuel Platas Varela', 'types': ['route']}, {'long_name': 'La Coruña', 'short_name': 'C', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Galicia', 'short_name': 'GA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Spain', 'short_name': 'ES', 'types': ['country', 'political']}], 'formatted_address': 'Av. Alcalde Manuel Platas Varela, La Coruña, Spain', 'geometry': {'bounds': {'northeast': {'lat': 43.328581, 'lng': -8.4701855}, 'southwest': {'lat': 43.3155452, 'lng': -8.4898202}}, 'location': {'lat': 43.323895, 'lng': -8.4756016}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 43.328581, 'lng': -8.4701855}, 'southwest': {'lat': 43.3155452, 'lng': -8.4898202}}}, 'partial_match': True, 'place_id': 'ChIJsx8lMatiLg0RhHjlB5z2yoA', 'types': ['route']}], 'status': 'OK'}"
Comarea,316.0,4.0,,,"['Mediterránea', 'Europea', 'Española', 'Vinoteca']",,"Calle Carlos Martínez Barbeito Morás Nº4, A Coruña España","['15', '20', '52', '148', '81']",,,True,False,False,True,False,False,False,False,False,False,False,False,False,False,15.0,20.0,52.0,148.0,81.0,43.3421199,-8.4053645,A Coruña,Galicia,15009,"Rúa Carlos Martínez Barbeito Moras, 15009 A Coruña, Spain","{'results': [{'address_components': [{'long_name': 'Rúa Carlos Martínez Barbeito Moras', 'short_name': 'Rúa Carlos Martínez Barbeito Moras', 'types': ['route']}, {'long_name': 'A Coruña', 'short_name': 'A Coruña', 'types': ['locality', 'political']}, {'long_name': 'A Coruña', 'short_name': 'C', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Galicia', 'short_name': 'GA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Spain', 'short_name': 'ES', 'types': ['country', 'political']}, {'long_name': '15009', 'short_name': '15009', 'types': ['postal_code']}], 'formatted_address': 'Rúa Carlos Martínez Barbeito Moras, 15009 A Coruña, Spain', 'geometry': {'bounds': {'northeast': {'lat': 43.3425561, 'lng': -8.404866199999999}, 'southwest': {'lat': 43.341881, 'lng': -8.405915499999999}}, 'location': {'lat': 43.3421199, 'lng': -8.4053645}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 43.3435675302915, 'lng': -8.404041869708497}, 'southwest': {'lat': 43.3408695697085, 'lng': -8.406739830291501}}}, 'place_id': 'ChIJSxHHYqR8Lg0R2d0auR3fLaI', 'types': ['route']}], 'status': 'OK'}"
