Los Montes de Galicia;11.363;5;1;['50', '90'];['Española', ' Internacional', ' Mediterránea', ' Saludable'];['Opciones veganas', ' Opciones sin gluten'];Calle Azcona 46, 28028 Madrid España;['7', '28', '175', '1.082', '7.395'];
Brunchit Chueca;123;5;2;nan;['Internacional', ' Saludable', ' Café', ' Mediterránea', ' Española'];nan;Augusto de Figueroa 33, Madrid España;['0', '0', '0', '1', '83'];
Restaurante La Gaditana;2312;4,5;3;['10', '50'];['Mediterránea', ' Europea', ' Española', ' Saludable'];['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten'];Calle Fuente del Berro 23, 28009 Madrid España;['33', '33', '81', '264', '1.709'];
Sibuya Urban Sushi Bar · CC Caleido;412;5;4;nan;['Comidas', ' Cenas'];nan;Paseo de la Castellana, 259 E. 5th Tower, 28046 Madrid España;['0', '2', '4', '23', '374'];
Kathmandu Tandoori House;2666;5;5;['10', '60'];['India', ' Asiática', ' Saludable', ' Nepalí'];['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten'];Calle Acuario, 11, 28042 Madrid España;['9', '14', '37', '122', '1.507'];
El Sur de Moratín;492;5;6;['5', '30'];['Española'];['Comidas', ' Cenas', ' Abierto hasta tarde', ' Bebidas'];Calle Moratín 19, 28014 Madrid España;['1', '2', '0', '4', '161'];
Pastamore;1008;5;7;['18', '25'];['Italiana', ' Pizza', ' Mediterránea', ' Saludable', ' Toscana', ' Siciliana', ' Del centro de Italia', ' Del sur de Italia'];['Opciones vegetarianas'];Calle Alcalá, 191, 28009 Madrid España;['2', '5', '12', '59', '734'];
Steakburger Gran Vía 16;5362;5;31;['11', '22'];['Americana', ' Restaurante de carne', ' Barbacoa'];['Opciones vegetarianas', ' Opciones veganas', ' Opciones sin gluten'];Gran Vía, 16, 28013 Madrid España;['30', '16', '59', '357', '3.151'];
Astral;302;5;32;nan;['Mediterránea', ' Europea', ' Española'];nan;Camino Viejo de Leganés 82 Esquina Avenida de Oporto 53, 28025 Madrid España;['3', '1', '2', '22', '268'];
Steakburger Gran Vía 55;1505;5;33;['10', '25'];['Americana', ' Restaurante de carne'];['Opciones sin gluten'];Gran Vía, 55 Galeria Gran Via 55, 28013 Madrid España;['7', '9', '22', '93', '1.184'];
